prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P2332,"""Dictionary of Art Historians ID""@en",86,2389,3.60,,,
http://www.wikidata.org/entity/P4581,"""Städel Museum artist ID""@en",78,2172,3.59,,,
http://www.wikidata.org/entity/P7666,"""Visuotinė lietuvių enciklopedija ID""@en",629,17572,3.58,,,
http://www.wikidata.org/entity/P8730,"""National Park Service people ID""@en",2,56,3.57,,,
http://www.wikidata.org/entity/P1430,"""Open Plaques subject ID""@en",191,5387,3.55,,,
http://www.wikidata.org/entity/P4716,"""Académie des Inscriptions et Belles-Lettres member ID""@en",8,226,3.54,,,
http://www.wikidata.org/entity/P8366,"""GCatholic person ID""@en",93,2646,3.51,,,
http://www.wikidata.org/entity/P3932,"""Digital Valencian Library author ID""@en",2,57,3.51,,,
http://www.wikidata.org/entity/P1375,"""NSK ID""@en",925,26537,3.49,,,
http://www.wikidata.org/entity/P1005,"""Portuguese National Library author ID""@en",1935,55921,3.46,,,
http://www.wikidata.org/entity/P2188,"""BiblioNet author ID""@en",119,3465,3.43,,,
http://www.wikidata.org/entity/P2625,"""PASE ID""@en",39,1139,3.42,,,
http://www.wikidata.org/entity/P2734,"""Unz Review author ID""@en",542,15952,3.40,,,
http://www.wikidata.org/entity/P5506,"""Poetry In Voice poet ID""@en",8,237,3.38,,,
http://www.wikidata.org/entity/P5695,"""Bibliopoche author ID""@en",67,1986,3.37,,,
http://www.wikidata.org/entity/P3222,"""NE.se ID""@en",1179,35092,3.36,,,
http://www.wikidata.org/entity/P9331,"""Storiaememoriadibologna ID""@en",37,1102,3.36,,,
http://www.wikidata.org/entity/P7775,"""RationalWiki ID""@en",20,596,3.36,,,
http://www.wikidata.org/entity/P5587,"""Libris-URI""@en",2479,73914,3.35,,,
http://www.wikidata.org/entity/P2000,"""CPDL ID""@en",13,390,3.33,,,
http://www.wikidata.org/entity/P5801,"""Academia.edu topic ID""@en",2,60,3.33,,,
http://www.wikidata.org/entity/P906,"""SELIBR ID""@en",2548,76758,3.32,,,
http://www.wikidata.org/entity/P7203,"""Dizionario biografico dei Friulani ID""@en",40,1214,3.29,,,
http://www.wikidata.org/entity/P1938,"""Project Gutenberg author ID""@en",506,15444,3.28,,,
http://www.wikidata.org/entity/P7700,"""Slovak National Library ID (VIAF)""@en",111,3391,3.27,,,
http://www.wikidata.org/entity/P10565,"""Encyclopedia of China (Third Edition) ID""@en",142,4339,3.27,,,
http://www.wikidata.org/entity/P4342,"""Store norske leksikon ID""@en",1361,41803,3.26,,,
http://www.wikidata.org/entity/P8885,"""Namuwiki ID""@en",33,1016,3.25,,,
http://www.wikidata.org/entity/P4440,"""Biblioteca Nacional de México ID""@en",13,401,3.24,,,
http://www.wikidata.org/entity/P1273,"""CANTIC ID (former scheme)""@en",1660,51302,3.24,,,
http://www.wikidata.org/entity/P8612,"""past Fellow of the Royal Society ID""@en",109,3377,3.23,,,
http://www.wikidata.org/entity/P10916,"""Süddeutsche Zeitung topic ID""@en",2,62,3.23,,,
http://www.wikidata.org/entity/P9114,"""Mathematica Italiana person ID""@en",22,691,3.18,,,
http://www.wikidata.org/entity/P8406,"""Grove Art Online ID""@en",530,16796,3.16,,,
http://www.wikidata.org/entity/P1818,"""Kaiserhof ID""@en",97,3078,3.15,,,
http://www.wikidata.org/entity/P4159,"""WeRelate person ID""@en",935,29670,3.15,,,
http://www.wikidata.org/entity/P8334,"""MuseScore artist ID""@en",66,2096,3.15,,,
http://www.wikidata.org/entity/P3029,"""UK National Archives ID""@en",1119,35676,3.14,,,
http://www.wikidata.org/entity/P5731,"""Angelicum ID""@en",1548,49500,3.13,,,
http://www.wikidata.org/entity/P9251,"""Cyprus University of Technology ID""@en",154,4968,3.10,,,
http://www.wikidata.org/entity/P1670,"""Canadiana Authorities ID (former scheme)""@en",173,5627,3.07,,,
http://www.wikidata.org/entity/P8234,"""LiederNet author ID""@en",225,7361,3.06,,,
http://www.wikidata.org/entity/P1871,"""CERL Thesaurus ID""@en",8400,277622,3.03,,,
http://www.wikidata.org/entity/P6300,"""Hymnary author ID""@en",166,5487,3.03,,,
http://www.wikidata.org/entity/P9984,"""CANTIC ID""@en",1720,57200,3.01,,,
http://www.wikidata.org/entity/P8896,"""Concise Literary Encyclopedia ID""@en",3,100,3.00,,,
http://www.wikidata.org/entity/P9001,"""Literary Encyclopedia ID""@en",23,767,3.00,,,
http://www.wikidata.org/entity/P1580,"""University of Barcelona authority ID (obsolete)""@en",1753,58892,2.98,,,
http://www.wikidata.org/entity/P11156,"""MMB ID""@en",205,6974,2.94,,,
http://www.wikidata.org/entity/P8902,"""Archives at Yale names ID""@en",467,15922,2.93,,,
http://www.wikidata.org/entity/P7699,"""National Library of Lithuania ID""@en",1133,38672,2.93,,,
http://www.wikidata.org/entity/P409,"""Libraries Australia ID""@en",2070,71770,2.88,,,
http://www.wikidata.org/entity/P8705,"""Artist ID of the department of Prints and Drawings of the Louvre""@en",157,5452,2.88,,,
http://www.wikidata.org/entity/P9599,"""Polo bibliografico della ricerca author ID""@en",4,139,2.88,,,
http://www.wikidata.org/entity/P7689,"""Online Nevada Encyclopedia ID""@en",1,35,2.86,,,
http://www.wikidata.org/entity/P5905,"""Comic Vine ID""@en",144,5046,2.85,,,
http://www.wikidata.org/entity/P2915,"""ECARTICO person ID""@en",153,5368,2.85,,,
http://www.wikidata.org/entity/P6745,"""Orlando author ID""@en",36,1280,2.81,,,
http://www.wikidata.org/entity/P8441,"""Cistercian Biography Online ID""@en",23,820,2.80,,,
http://www.wikidata.org/entity/P8993,"""JAD ID""@en",6,215,2.79,,,
http://www.wikidata.org/entity/P5631,"""Canal Académie ID""@en",7,254,2.76,,,
http://www.wikidata.org/entity/P2340,"""CESAR person ID""@en",41,1500,2.73,,,
http://www.wikidata.org/entity/P9855,"""Edizioni Ares author ID""@en",6,220,2.73,,,
http://www.wikidata.org/entity/P1901,"""BALaT person/organisation id""@en",3,110,2.73,,,
http://www.wikidata.org/entity/P11155,"""Municipal Library of Trikala ID""@en",34,1250,2.72,,,
http://www.wikidata.org/entity/P4361,"""ExecutedToday ID""@en",18,664,2.71,,,
http://www.wikidata.org/entity/P4928,"""Ricorso author ID""@en",45,1679,2.68,,,
http://www.wikidata.org/entity/P396,"""SBN author ID""@en",2216,83034,2.67,,,
http://www.wikidata.org/entity/P9610,"""PoetsGate poet ID""@en",10,375,2.67,,,
